sample_id	run_id	fq1	fq2	rgGroup_ID	platform
LsSwe9	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe9_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/LsSwe9_01_L1_R2_trimmed.fastq.gz	C80HPANXX_L1_01 hiseq2000
M10	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M10_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M10_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01	novoseq
M1	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M1_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M1_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M2	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M2_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M2_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M3	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M3_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M3_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M4	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M4_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M4_01_L2_R2_trimmed.fastq.gz	HMHL7DSX7_L2_01        novoseq
M5	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M5_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M5_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M6	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M6_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M6_01_L2_R2_trimmed.fastq.gz	HMHL7DSX7_L2_01        novoseq
M6	01_L3	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M6_01_L3_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M6_01_L3_R2_trimmed.fastq.gz	HMHL7DSX7_L3_01        novoseq
M7	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M7_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M7_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M8	01_L1	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M8_01_L1_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M8_01_L1_R2_trimmed.fastq.gz	HMHL7DSX7_L1_01        novoseq
M9	01_L2	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M9_01_L2_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M9_01_L2_R2_trimmed.fastq.gz	HMHL7DSX7_L2_01        novoseq
M9	01_L4	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M9_01_L4_R1_trimmed.fastq.gz	/mnt/sda/saad/WW_Trimmed_Reads_WWPaper/DTOLGenErode_trimmed_reads_forVG/modern/M9_01_L4_R2_trimmed.fastq.gz	HMHL7DSX7_L4_01        novoseq
